person_id	display_name	wikidata_qid	born	died	confidence	same_surname_warning	note
abonyi	Abonyi, István	Q732901	1886	1942	high	Three other István Abonyi items on Wikidata — politician (Q111607676, 1811-1875), mechanical engineer (Q139576109, 1947-2019) and forestry engineer (Q125590062) — none a chess player.	Wikidata Q732901, Hungarian chess player 1886-1942, chessgames id 84291, credited as the eponym of the Abonyi Variation of the Budapest Gambit in OCN's eponym evidence file.
adams	Adams, Michael	Q299636	1971		high	Weaver W. Adams (Q983313), American player 1901-1963, is the eponym of the Sicilian Najdorf Adams Attack and is tracked separately in this repo as person id 'adams-weaver'; the two must not be merged.	Wikidata Q299636, British GM born 1971 (FIDE 400041, enwiki 'Michael Adams (chess player)'); the catalogue's world-championship rows for this person are his 1994 PCA candidates match against Tiviakov, which only the British GM played.
adams-weaver	Adams, Weaver	Q983313	1901	1963	high	Michael Adams (Q299636), British GM b. 1971, is regularly and wrongly credited with the Adams Attack; the 1940s dating rules him out. Weaver Adams is the eponym.	Wikidata Q983313 'Weaver W. Adams', American chess player and author 1901-1963, enwiki 'Weaver W. Adams'; the Najdorf 6.h3 Adams Attack is credited to Weaver Adams, who first played it in the 1940s (chess.com history of the line). Wikidata's label carries the middle initial, 'Weaver W. Adams', if the catalogue prefers it.
adler	Adler, Mór				not-found	DECOY: Q504223 is 'Mór Adler', Hungarian painter (1826-1902), an exact name match with occupation painter only and no chess connection. A mechanical name lookup will return it. Do not use it.	The eponym is the Hungarian amateur Mór Adler who played the first known Budapest Gambit game against Géza Maróczy in Budapest on 5 March 1896, but no Wikidata item exists for him: a CirrusSearch for 'Adler' constrained to occupation chess player (P106=Q10873124) returns only Viktor Adler (Q27522824, b. 1947) and Joel Adler (Q30309474, b. 1965), and hu.wikipedia has no chess-playing Adler Mór.
alapin	Alapin, Semyon	Q371391	1856	1923	high		Wikidata Q371391 'Semyon Alapin', Russian chess player 1856-1923 (occupation chess player, chessgames id 10538), credited in OCN's own docs/evidence/eponyms/named-after-people.tsv as the eponym of both 1.e4 e5 2.Ne2 and the Sicilian 2.c3.
albin	Albin, Adolf	Q360771	1848	1920	high	'Albin' is the forename of Albin Planinc (Q603418), Slovenian GM 1944-2008 — a real collision risk for a surname-keyed id, but unrelated to this row.	Wikidata Q360771 'Adolf Albin', Romanian chess player 1848-1920, en.wikipedia article; eponym of the Albin Counter-Gambit.
alburt	Alburt, Lev	Q525884	1945		high		Wikidata Q525884 'Lev Alburt', human, Ukrainian-American GM, FIDE ID 2000156; enwiki eponym list credits him with the Alburt Variation of Alekhine's Defence (1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6), the Alekhine Modern/King's Indian line listed. Wikidata carries three conflicting birth values (1945-08-21, 1945, 1946); enwiki gives 21 August 1945, so 1945 used.
alekhine	Alekhine, Alexander	Q131374	1892	1946	high	His elder brother Alexei Alekhine (Q4062145) was also a Russian chess player; Q4062145 is NOT the eponym here.	Wikidata Q131374, world champion 1927-1935 and 1937-1946, is the eponym of both Alekhine's Defence and the Alekhine-Chatard Attack (the Chatard half is Eugene Chatard, a separate person).
aljechin	Alekhine, Alexander	Q131374	1892	1946	high	Alexei Alekhine (Q4062145, 1888-1939) was Alexander's brother and also a chess player (P3373 sibling link to Q131374); note too that this catalogue's separate person id `alekhine` resolves to the same Q131374 and the two rows should be merged.	Both the forename and the surname spelling in the input are corpus corruption. In catalog/ocn-1.wch.tsv the identical event — 'World Championship 14th', 1929, versus Bogoljubow — appears spelled both 'Aljechin, Yuri' (21 games) and 'Alekhine, Alexander' (2 games), so the two person ids are one man; 'Aljechin' is the German/Dutch transliteration, as the catalogue's own B.Ale row confirms by citing the 1922 Fahrni monograph 'Die Aljechin-Verteidigung'. Verified as Wikidata Q131374 'Alexander Alekhine', 1892-1946, en.wikipedia article.
allgaier	Allgaier, Johann Baptist	Q64939	1763	1823	high		en.wikipedia 'Johann Baptist Allgaier' carries wikibase_item Q64939, and Wikipedia's list gives the Allgaier Gambit as King's Gambit 5.Ng5 named after him; forename expanded to the full 'Johann Baptist' that both Wikidata's English label and the article title use.
amar	Amar, Charles	Q63125130			high		"Wikidata Q63125130 ""Charles Amar"" — human, male, occupation chess player (P106 → Q10873124), sport chess (P641), floruit 1930s (P1317, decade precision); the Amar Opening item Q642339 carries P138 (named after) → Q63125130, so Wikidata itself designates this item as the opening's eponym. The item is thin (no dates, no sitelinks, no references, only a Dutch description ""schaker""), so born/died are left empty rather than inferred; the identity, however, is directly asserted rather than pattern-matched."
anand	Anand, Viswanathan	Q45747	1969		high	Several other Indian players carry Anand as the final name element and are tagged chess player on Wikidata, notably GM Pranav Anand (Q71319679, born 2006); this row is the former world champion Viswanathan.	en.wikipedia 'Viswanathan Anand' carries wikibase_item Q45747, Indian grandmaster and five-time world champion born 1969; no openings were supplied for this row, so the identification rests on the unambiguous full name rather than on eponym evidence.
anderssen	Anderssen, Adolf	Q57155	1818	1879	high	No second chess Anderssen exists, but the near-homograph Andersson is crowded, notably Ulf Andersson (Q434364, Swedish GM b. 1951); do not let a spelling normalisation collapse the two.	"Wikidata ""Anderssen's Opening"" (Q491725) has named-after (P138) = Q57155, Adolf Anderssen, unofficial world champion."
arkell	Arkell, Keith	Q1277091	1961		high	Susan Lalic (Q5157522), English chess player, competed as Susan Arkell — a second notable chess Arkell; this row is the male GM Keith.	Wikidata Q1277091 'Keith Arkell', English chess grandmaster b. 1961, en.wikipedia article; the catalogue's own eponym evidence names the row 'Arkell–Khenkin Variation' after Keith Arkell and Igor Khenkin.
averbakh	Averbakh, Yuri	Q434808	1922	2022	high		"English Wikipedia's King's Indian Defence article states ""The Averbakh Variation (named for Yuri Averbakh)"" and links to the article backed by Q434808."
balogh	Balogh, János	Q79081	1892	1980	high	Shared surname: Csaba Balogh (Q789568), Hungarian GM born 1987, is a different chess Balogh. Wikidata also holds a dozen unrelated non-chess János Baloghs, so match on the chess-player description, not the name alone.	Wikidata Q79081 'János Balogh', Hungarian over-the-board and correspondence chess player (1892-1980), enwiki 'János Balogh (chess player)'; eponym of the Balogh Defence (1.e4 d6 2.d4 f5), the listed Rat Defence line.
barcza	Barcza, Gedeon	Q376832	1911	1986	high		Wikidata Q376832 (human, chess player, Hungary); enwiki credits him with the Barcza System 1.Nf3 d5 2.g3 and cross-references the King's Indian Attack, matching the listed opening.
barnes	Barnes, Thomas	Q2553573	1825	1874	high		Q2553573 'Thomas Wilson Barnes', British chess player (1825-1874), enwiki article, the London player of Morphy's era after whom the Barnes Opening 1.f3 is named.
basman	Basman, Michael	Q1926919	1946	2022	high		Wikidata Q1926919 'Michael Basman', British chess player (1946-2022); the en.wikipedia article linked to this Q-number explicitly credits him with the Borg Defence ('Grob' reversed, 1.e4 g5).
becker	Becker, Albert	Q84930	1896	1984	high	Ten Wikidata chess players are surnamed Becker (Martin Alexander Q1382864, Idel Q10299796, Michael Q30310067 and others), and several unrelated Albert Beckers exist (composer Q566825, painter Q52822161, regional historian Q2637591, disambiguation page Q2637600) — only Q84930 is the chess Albert Becker.	Wikidata Q84930 (human, chess player, Austrian-Argentine master); enwiki's list entry 'Becker Defense of the King's Gambit, 3...h6' links to [[Albert Becker (chess player)]], which is precisely this item's enwiki sitelink.
benko	Benko, Pal	Q465247	1928	2019	high		Wikidata Q465247 'Pal Benko', Hungarian-American chess player and composer (1928-2019), FIDE ID 2000687 — eponym of the Benko Gambit and the Hungarian/Benko Opening.
