person_id	wikidata_qid	reason
adams	Q299636	matched Q299636 (Michael Adams, 1971-; British chess grandmaster)
alekhine	Q131374	matched Q131374 (Alexander Alekhine, 1892-1946; Russian-French chess player (1892–1946))
aljechin	Q131374	matched Q131374 (Alexander Alekhine, 1892-1946; Russian-French chess player (1892–1946))
anand	Q45747	matched Q45747 (Viswanathan Anand, 1969-; Indian chess grandmaster)
bikova	-	no candidate survived 1959-1959 (considered: none)
bogoljubow	Q57310	matched Q57310 (Efim Bogoljubov, 1889-1952; Russian chess player (1889–1952))
botvinnik	Q178865	matched Q178865 (Mikhail Botvinnik, 1911-1995; Soviet chess player)
bronstein	Q312908	matched Q312908 (David Bronstein, 1924-2006; Soviet chess grandmaster)
bykova	Q253772	matched Q253772 (Elisabeth Bykova, 1913-1989; Soviet chess player (1913-1989))
capablanca	Q160702	matched Q160702 (José Raúl Capablanca, 1888-1942; Cuban chess player (1888-1942))
carlsen	Q106807	matched Q106807 (Magnus Carlsen, 1990-; Norwegian chess player (born 1990))
caruana	Q367277	matched Q367277 (Fabiano Caruana, 1992-; Italian-American chess player)
ding	Q1191198	matched Q1191198 (Ding Liren, 1992-; Chinese grandmaster and former World Chess Champion)
euwe	Q173714	matched Q173714 (Max Euwe, 1901-1981; Dutch chess player and mathematician)
fischer	Q41314	matched Q41314 (Bobby Fischer, 1943-2008; American chess player (1943–2008))
forgacs	Q934474	matched Q934474 (Leó Forgács, 1881-1930; Hungarian chess player (1881–1930))
galliamova	Q466286	matched Q466286 (Alisä Ğällämevä, 1972-; Russian chess player)
gaprindashvili	Q231630	matched Q231630 (Nona Gaprindashvili, 1941-; Soviet chess player)
gelfand	Q486778	matched Q486778 (Boris Gelfand, 1968-; Belarusian-Israeli chess player)
goryachkina	Q4146345	matched Q4146345 (Aleksandra Goryachkina, 1998-; Russian chess player)
gukesh-d	Q56026072	matched Q56026072 (Gukesh D, 2006-; Indian chess grandmaster)
gulko	Q893658	matched Q893658 (Boris Gulko, 1947-; Soviet-American chess player)
gunsberg	Q357796	matched Q357796 (Isidor Gunsberg, 1854-1930; Hungarian-born British chess player)
hou	Q234011	matched Q234011 (Hou Yifan, 1994-; Chinese chess player)
ioseliani	Q259851	matched Q259851 (Nana Ioseliani, 1962-; Georgian chess player)
ivanchuk	Q208229	matched Q208229 (Vasyl Ivanchuk, 1969-; Ukrainian chess player)
ju	Q468045	matched Q468045 (Ju Wenjun, 1991-; Chinese chess player)
kamsky	Q315155	matched Q315155 (Gata Kamsky, 1974-; American chess player)
karjakin	Q217198	matched Q217198 (Sergey Karjakin, 1990-; Russian chess player)
karpov	-	no candidate survived 1978-1996 (considered: none)
kasparov	Q28614	matched Q28614 (Garry Kasparov, 1963-; Russian chess grandmaster and activist)
koneru	Q255044	matched Q255044 (Koneru Humpy, 1987-; Indian chess player)
korchnoi	Q212889	matched Q212889 (Viktor Korchnoi, 1931-2016; Soviet-Swiss chess grandmaster)
kramnik	Q161092	matched Q161092 (Vladimir Kramnik, 1975-; Russian chess grandmaster)
kushnir-aleksandr	-	no candidate survived 1965-1972 (considered: none)
lasker	Q57095	matched Q57095 (Emanuel Lasker, 1868-1941; former World Chess champion (1868–1941))
lei	Q16845654	matched Q16845654 (Lei Tingjie, 1997-; Chinese chess player)
leko	Q210922	matched Q210922 (Peter Leko, 1979-; Hungarian chess player)
marshall-viele	-	no candidate survived 1907-1907 (considered: none)
morrison	-	no candidate survived 1910-1910 (considered: none)
muzychuk	Q439881	matched Q439881 (Mariya Muzychuk, 1992-; Ukrainian chess player)
nepomniachtchi	Q521817	matched Q521817 (Ian Nepomniachtchi, 1990-; Russian chess player)
petrosian	Q180636	matched Q180636 (Tigran Petrosian, 1929-1984; Soviet Armenian Grandmaster and World Chess Champion)
polgar	Q12823	matched on given name 'Susan': Q12823 (Susan Polgar, 1969-; Hungarian chess player (born 1969))
ponomariov	Q207723	matched Q207723 (Ruslan Ponomariov, 1983-; Ukrainian chess player)
romanishin	Q1346918	matched Q1346918 (Oleg Romanishin, 1952-; Ukrainian chess player)
ruan	Q385149	matched Q385149 (Ruan Lufei, 1987-; Chinese chess player)
rubtsova	Q254159	matched Q254159 (Olga Rubtsova, 1909-1994; Russian chess player)
short	Q313778	matched Q313778 (Nigel Short, 1965-; English chess player and writer)
smyslov	Q104148	matched Q104148 (Vasily Smyslov, 1921-2010; Soviet chess grandmaster (1921–2010))
spassky	Q177310	matched Q177310 (Boris Spassky, 1937-2025; Russian chess player (1937–2025))
steinitz	Q102648	matched Q102648 (Wilhelm Steinitz, 1836-1900; Austrian-American chess player (1836–1900))
tal	Q102664	matched Q102664 (Mikhail Tal, 1936-1992; Soviet-Latvian chess player (1936-1992))
tan	Q7682163	matched Q7682163 (Tan Zhongyi, 1991-; Chinese chess player)
tarrasch	Q76558	matched Q76558 (Siegbert Tarrasch, 1862-1934; German chess player, chess writer, and chess theoretician (1862–1934))
timman	Q139438	matched Q139438 (Jan Timman, 1951-2026; Dutch chess grandmaster (1951–2026))
tiviakov	Q710938	matched Q710938 (Sergei Tiviakov, 1973-; Dutch chess player)
topalov	Q172798	matched Q172798 (Veselin Topalov, 1975-; Bulgarian chess grandmaster)
xie	Q255142	matched Q255142 (Xie Jun, 1970-; Chinese chess player)
zukertort	Q60182	matched Q60182 (Johannes Zukertort, 1842-1888; German chess master (1842-1888))
zvorykina	-	no candidate survived 1959-1959 (considered: none)
